,p_id,professor,student,hasPosition,inPhase,yearsInProgram
42,85.0,0.0,1.0,0,0,0
43,86.0,0.0,1.0,0,0,0
44,87.0,0.0,1.0,0,0,0
45,88.0,0.0,1.0,0,0,0
46,89.0,0.0,1.0,0,Post_Generals,Year_5
47,90.0,0.0,1.0,0,0,0
48,92.0,0.0,1.0,0,Post_Generals,Year_5
49,94.0,0.0,1.0,0,Pre_Quals,Year_1
50,96.0,0.0,1.0,0,Post_Generals,Year_5
51,100.0,0.0,1.0,0,Post_Quals,Year_5
52,100.0,0.0,1.0,0,Post_Quals,Year_5
53,102.0,0.0,1.0,0,0,0
54,105.0,0.0,1.0,0,0,0
55,108.0,0.0,1.0,0,0,0
56,111.0,1.0,0.0,Faculty_adj,0,0
57,113.0,0.0,1.0,0,Post_Generals,Year_4
58,113.0,0.0,1.0,0,Post_Generals,Year_4
59,115.0,1.0,0.0,Faculty,0,0
60,116.0,0.0,1.0,0,Pre_Quals,Year_3
61,118.0,0.0,1.0,0,Post_Generals,Year_4
62,119.0,0.0,1.0,0,0,0
63,122.0,0.0,1.0,0,Post_Quals,Year_4
64,123.0,0.0,1.0,0,0,0
65,125.0,0.0,1.0,0,0,0
66,126.0,0.0,1.0,0,Post_Quals,Year_5
67,129.0,0.0,1.0,0,Post_Generals,Year_6
68,129.0,0.0,1.0,0,Post_Generals,Year_6
69,130.0,0.0,1.0,0,Post_Generals,Year_8
70,131.0,0.0,1.0,0,0,0
71,138.0,0.0,1.0,0,0,0
72,139.0,0.0,1.0,0,Post_Quals,Year_3
73,140.0,0.0,1.0,0,0,0
74,142.0,0.0,1.0,0,Post_Generals,Year_9
75,144.0,0.0,1.0,0,0,0
76,146.0,0.0,1.0,0,0,0
77,148.0,0.0,1.0,0,Post_Quals,Year_5
78,149.0,0.0,1.0,0,Post_Quals,Year_5
79,154.0,0.0,1.0,0,Post_Quals,Year_4
80,154.0,0.0,1.0,0,Post_Quals,Year_4
81,155.0,0.0,1.0,0,Pre_Quals,Year_2
82,157.0,0.0,1.0,0,Post_Quals,Year_4
83,158.0,0.0,1.0,0,0,0
84,159.0,0.0,1.0,0,Post_Quals,Year_2
85,159.0,0.0,1.0,0,Post_Quals,Year_2
86,161.0,0.0,1.0,0,Post_Generals,Year_7
87,163.0,0.0,1.0,0,Post_Quals,Year_4
88,167.0,0.0,1.0,0,0,0
89,172.0,0.0,1.0,0,Pre_Quals,Year_1
90,175.0,0.0,1.0,0,Post_Generals,Year_2
91,176.0,0.0,1.0,0,Post_Quals,Year_2
92,178.0,0.0,1.0,0,0,0
93,182.0,0.0,1.0,0,Post_Quals,Year_3
94,183.0,0.0,1.0,0,Pre_Quals,Year_4
95,185.0,1.0,0.0,Faculty_adj,0,0
96,186.0,0.0,1.0,0,Pre_Quals,Year_1
97,187.0,0.0,1.0,0,Pre_Quals,Year_1
98,188.0,0.0,1.0,0,0,0
99,190.0,0.0,1.0,0,0,0
100,191.0,0.0,1.0,0,Post_Quals,Year_4
101,193.0,0.0,1.0,0,Pre_Quals,Year_1
102,195.0,0.0,1.0,0,0,0
103,198.0,0.0,1.0,0,0,0
104,200.0,0.0,1.0,0,Post_Quals,Year_4
105,203.0,0.0,1.0,0,0,0
106,205.0,0.0,1.0,0,Pre_Quals,Year_1
107,206.0,0.0,1.0,0,Post_Generals,Year_6
108,206.0,0.0,1.0,0,Post_Generals,Year_6
109,207.0,0.0,1.0,0,0,0
110,208.0,0.0,1.0,0,Post_Quals,Year_4
111,212.0,0.0,1.0,0,Post_Generals,Year_7
112,214.0,0.0,1.0,0,0,0
113,217.0,0.0,1.0,0,Post_Generals,Year_5
114,217.0,0.0,1.0,0,Post_Generals,Year_5
115,218.0,0.0,1.0,0,Post_Generals,Year_12
116,222.0,0.0,1.0,0,Pre_Quals,Year_1
117,223.0,0.0,1.0,0,0,0
118,226.0,0.0,1.0,0,Post_Quals,Year_4
119,228.0,0.0,1.0,0,Post_Quals,Year_3
120,228.0,0.0,1.0,0,Post_Quals,Year_3
121,228.0,0.0,1.0,0,Post_Quals,Year_3
122,230.0,0.0,1.0,0,0,0
123,232.0,0.0,1.0,0,0,0
124,233.0,0.0,1.0,0,Pre_Quals,Year_1
125,237.0,0.0,1.0,0,0,0
126,239.0,0.0,1.0,0,Post_Quals,Year_4
127,241.0,0.0,1.0,0,Post_Quals,Year_3
128,242.0,0.0,1.0,0,Post_Generals,Year_5
129,242.0,0.0,1.0,0,Post_Generals,Year_5
130,249.0,0.0,1.0,0,Post_Generals,Year_7
131,253.0,0.0,1.0,0,Post_Generals,Year_5
132,257.0,0.0,1.0,0,Post_Generals,Year_7
133,258.0,0.0,1.0,0,0,0
134,259.0,0.0,1.0,0,0,0
135,261.0,0.0,1.0,0,0,0
136,262.0,0.0,1.0,0,Post_Generals,Year_7
137,262.0,0.0,1.0,0,Post_Generals,Year_7
138,265.0,0.0,1.0,0,Post_Generals,Year_9
139,266.0,0.0,1.0,0,Post_Quals,Year_5
140,269.0,0.0,1.0,0,0,0
141,270.0,0.0,1.0,0,Pre_Quals,Year_1
142,271.0,0.0,1.0,0,0,0
143,272.0,0.0,1.0,0,Post_Quals,Year_2
144,274.0,0.0,1.0,0,0,0
145,275.0,0.0,1.0,0,Post_Generals,Year_5
146,276.0,0.0,1.0,0,Pre_Quals,Year_3
147,277.0,0.0,1.0,0,Pre_Quals,Year_1
148,280.0,0.0,1.0,0,Pre_Quals,Year_3
149,283.0,0.0,1.0,0,Pre_Quals,Year_1
150,284.0,0.0,1.0,0,Post_Quals,Year_3
151,286.0,0.0,1.0,0,Post_Quals,Year_3
152,287.0,0.0,1.0,0,0,0
153,288.0,0.0,1.0,0,Post_Generals,Year_5
154,294.0,0.0,1.0,0,0,0
155,296.0,0.0,1.0,0,0,0
156,299.0,0.0,1.0,0,Pre_Quals,Year_3
157,300.0,0.0,1.0,0,Post_Generals,Year_8
158,303.0,0.0,1.0,0,Post_Quals,Year_4
159,303.0,0.0,1.0,0,Post_Quals,Year_4
160,306.0,0.0,1.0,0,0,0
161,309.0,0.0,1.0,0,Post_Quals,Year_3
162,310.0,0.0,1.0,0,0,0
163,311.0,0.0,1.0,0,Post_Quals,Year_3
164,312.0,0.0,1.0,0,Pre_Quals,Year_4
165,314.0,0.0,1.0,0,Post_Generals,Year_4
166,315.0,0.0,1.0,0,0,0
167,317.0,0.0,1.0,0,0,0
168,318.0,0.0,1.0,0,Pre_Quals,Year_5
169,318.0,0.0,1.0,0,Pre_Quals,Year_5
170,320.0,0.0,1.0,0,Post_Quals,Year_3
171,321.0,0.0,1.0,0,0,0
172,322.0,0.0,1.0,0,0,0
173,325.0,0.0,1.0,0,0,0
174,327.0,0.0,1.0,0,0,0
175,328.0,0.0,1.0,0,0,0
176,333.0,0.0,1.0,0,Pre_Quals,Year_2
177,340.0,0.0,1.0,0,0,0
178,343.0,0.0,1.0,0,Pre_Quals,Year_1
179,347.0,0.0,1.0,0,0,0
180,348.0,0.0,1.0,0,Post_Quals,Year_3
181,349.0,1.0,0.0,Faculty_adj,0,0
182,350.0,0.0,1.0,0,0,0
183,352.0,0.0,1.0,0,Post_Generals,Year_5
184,352.0,0.0,1.0,0,Post_Generals,Year_5
185,353.0,0.0,1.0,0,Post_Quals,Year_4
186,354.0,0.0,1.0,0,0,0
187,356.0,0.0,1.0,0,0,0
188,357.0,0.0,1.0,0,Post_Quals,Year_4
189,358.0,0.0,1.0,0,0,0
190,361.0,0.0,1.0,0,Post_Generals,Year_6
191,362.0,0.0,1.0,0,Post_Quals,Year_3
192,362.0,0.0,1.0,0,Post_Quals,Year_3
193,363.0,0.0,1.0,0,Pre_Quals,Year_3
194,368.0,0.0,1.0,0,Post_Generals,Year_4
195,374.0,0.0,1.0,0,Post_Generals,Year_12
196,376.0,0.0,1.0,0,Post_Quals,Year_4
197,376.0,0.0,1.0,0,Post_Quals,Year_4
198,377.0,0.0,1.0,0,Pre_Quals,Year_1
199,380.0,0.0,1.0,0,Post_Generals,Year_6
200,381.0,0.0,1.0,0,Post_Generals,Year_10
201,382.0,0.0,1.0,0,Post_Quals,Year_3
202,383.0,0.0,1.0,0,Pre_Quals,Year_2
203,384.0,0.0,1.0,0,Post_Quals,Year_3
204,384.0,0.0,1.0,0,Post_Quals,Year_3
205,390.0,0.0,1.0,0,Pre_Quals,Year_2
206,391.0,0.0,1.0,0,Post_Quals,Year_4
207,392.0,0.0,1.0,0,0,0
208,393.0,1.0,0.0,Faculty,0,0
209,397.0,0.0,1.0,0,0,0
210,398.0,0.0,1.0,0,Pre_Quals,Year_1
211,400.0,0.0,1.0,0,0,0
212,401.0,0.0,1.0,0,0,0
213,402.0,0.0,1.0,0,Pre_Quals,Year_2
214,403.0,0.0,1.0,0,Post_Generals,Year_12
215,404.0,0.0,1.0,0,Post_Generals,Year_4
216,406.0,0.0,1.0,0,Post_Generals,Year_5
217,408.0,0.0,1.0,0,Pre_Quals,Year_2
218,410.0,0.0,1.0,0,0,0
219,411.0,0.0,1.0,0,Post_Generals,Year_6
220,412.0,0.0,1.0,0,Post_Quals,Year_3
221,416.0,0.0,1.0,0,Pre_Quals,Year_1
222,417.0,0.0,1.0,0,Pre_Quals,Year_1
223,418.0,0.0,1.0,0,Post_Quals,Year_3
224,419.0,0.0,1.0,0,Post_Generals,Year_7
225,420.0,0.0,1.0,0,0,0
226,422.0,0.0,1.0,0,Post_Quals,Year_3
227,424.0,0.0,1.0,0,0,0
228,426.0,0.0,1.0,0,Post_Quals,Year_5
229,426.0,0.0,1.0,0,Post_Quals,Year_5
230,427.0,0.0,1.0,0,Post_Quals,Year_4
231,428.0,0.0,1.0,0,0,0
232,429.0,0.0,1.0,0,Post_Quals,Year_5
233,431.0,0.0,1.0,0,Pre_Quals,Year_2
234,432.0,0.0,1.0,0,Post_Quals,Year_5
235,435.0,0.0,1.0,0,Post_Quals,Year_4
236,5.0,1.0,0.0,Faculty,0,0
237,5.0,1.0,0.0,Faculty,0,0
238,5.0,1.0,0.0,Faculty,0,0
239,370.0,1.0,0.0,0,0,0
240,18.0,0.0,1.0,0,Pre_Quals,Year_3
241,166.0,1.0,0.0,0,0,0
242,9.0,0.0,1.0,0,Post_Generals,Year_5
243,46.0,1.0,0.0,Faculty,0,0
244,46.0,1.0,0.0,Faculty,0,0
245,335.0,1.0,0.0,Faculty,0,0
246,335.0,1.0,0.0,Faculty,0,0
247,335.0,1.0,0.0,Faculty,0,0
248,335.0,1.0,0.0,Faculty,0,0
249,335.0,1.0,0.0,Faculty,0,0
250,335.0,1.0,0.0,Faculty,0,0
251,22.0,1.0,0.0,Faculty_eme,0,0
252,99.0,0.0,1.0,0,Post_Quals,Year_2
253,40.0,1.0,0.0,Faculty,0,0
254,40.0,1.0,0.0,Faculty,0,0
255,52.0,1.0,0.0,Faculty,0,0
256,52.0,1.0,0.0,Faculty,0,0
257,52.0,1.0,0.0,Faculty,0,0
258,52.0,1.0,0.0,Faculty,0,0
259,57.0,1.0,0.0,0,0,0
260,57.0,1.0,0.0,0,0,0
261,298.0,1.0,0.0,Faculty,0,0
262,298.0,1.0,0.0,Faculty,0,0
263,298.0,1.0,0.0,Faculty,0,0
264,298.0,1.0,0.0,Faculty,0,0
265,298.0,1.0,0.0,Faculty,0,0
266,324.0,1.0,0.0,Faculty,0,0
267,324.0,1.0,0.0,Faculty,0,0
268,324.0,1.0,0.0,Faculty,0,0
269,324.0,1.0,0.0,Faculty,0,0
270,324.0,1.0,0.0,Faculty,0,0
271,324.0,1.0,0.0,Faculty,0,0
272,324.0,1.0,0.0,Faculty,0,0
273,331.0,1.0,0.0,Faculty,0,0
274,331.0,1.0,0.0,Faculty,0,0
275,331.0,1.0,0.0,Faculty,0,0
276,331.0,1.0,0.0,Faculty,0,0
277,331.0,1.0,0.0,Faculty,0,0
278,331.0,1.0,0.0,Faculty,0,0
279,331.0,1.0,0.0,Faculty,0,0
280,331.0,1.0,0.0,Faculty,0,0
281,331.0,1.0,0.0,Faculty,0,0
282,165.0,1.0,0.0,Faculty,0,0
283,165.0,1.0,0.0,Faculty,0,0
284,165.0,1.0,0.0,Faculty,0,0
285,165.0,1.0,0.0,Faculty,0,0
286,165.0,1.0,0.0,Faculty,0,0
287,165.0,1.0,0.0,Faculty,0,0
288,165.0,1.0,0.0,Faculty,0,0
289,165.0,1.0,0.0,Faculty,0,0
290,201.0,1.0,0.0,Faculty,0,0
291,201.0,1.0,0.0,Faculty,0,0
292,201.0,1.0,0.0,Faculty,0,0
293,201.0,1.0,0.0,Faculty,0,0
294,364.0,1.0,0.0,0,0,0
295,364.0,1.0,0.0,0,0,0
296,364.0,1.0,0.0,0,0,0
297,64.0,1.0,0.0,0,0,0
298,189.0,1.0,0.0,Faculty_adj,0,0
299,189.0,1.0,0.0,Faculty_adj,0,0
300,248.0,1.0,0.0,0,0,0
301,248.0,1.0,0.0,0,0,0
302,263.0,0.0,1.0,0,Post_Generals,Year_6
303,72.0,1.0,0.0,Faculty,0,0
304,72.0,1.0,0.0,Faculty,0,0
305,72.0,1.0,0.0,Faculty,0,0
306,72.0,1.0,0.0,Faculty,0,0
307,342.0,1.0,0.0,Faculty,0,0
308,342.0,1.0,0.0,Faculty,0,0
309,342.0,1.0,0.0,Faculty,0,0
310,342.0,1.0,0.0,Faculty,0,0
311,394.0,1.0,0.0,Faculty,0,0
312,394.0,1.0,0.0,Faculty,0,0
313,394.0,1.0,0.0,Faculty,0,0
314,394.0,1.0,0.0,Faculty,0,0
315,394.0,1.0,0.0,Faculty,0,0
316,394.0,1.0,0.0,Faculty,0,0
317,394.0,1.0,0.0,Faculty,0,0
318,394.0,1.0,0.0,Faculty,0,0
319,75.0,0.0,1.0,0,Post_Generals,Year_6
320,141.0,0.0,1.0,0,Post_Generals,Year_6
321,181.0,1.0,0.0,0,0,0
322,181.0,1.0,0.0,0,0,0
323,181.0,1.0,0.0,0,0,0
324,181.0,1.0,0.0,0,0,0
325,231.0,1.0,0.0,0,0,0
326,79.0,1.0,0.0,Faculty,0,0
327,79.0,1.0,0.0,Faculty,0,0
328,79.0,1.0,0.0,Faculty,0,0
329,79.0,1.0,0.0,Faculty,0,0
330,79.0,1.0,0.0,Faculty,0,0
331,211.0,1.0,0.0,Faculty,0,0
332,211.0,1.0,0.0,Faculty,0,0
333,211.0,1.0,0.0,Faculty,0,0
334,211.0,1.0,0.0,Faculty,0,0
335,407.0,1.0,0.0,Faculty,0,0
336,407.0,1.0,0.0,Faculty,0,0
337,407.0,1.0,0.0,Faculty,0,0
338,407.0,1.0,0.0,Faculty,0,0
339,407.0,1.0,0.0,Faculty,0,0
340,240.0,1.0,0.0,Faculty,0,0
341,240.0,1.0,0.0,Faculty,0,0
342,240.0,1.0,0.0,Faculty,0,0
343,240.0,1.0,0.0,Faculty,0,0
344,240.0,1.0,0.0,Faculty,0,0
345,240.0,1.0,0.0,Faculty,0,0
346,150.0,1.0,0.0,Faculty,0,0
347,150.0,1.0,0.0,Faculty,0,0
348,150.0,1.0,0.0,Faculty,0,0
349,150.0,1.0,0.0,Faculty,0,0
350,150.0,1.0,0.0,Faculty,0,0
351,82.0,1.0,0.0,Faculty,0,0
352,82.0,1.0,0.0,Faculty,0,0
353,235.0,1.0,0.0,Faculty,0,0
354,235.0,1.0,0.0,Faculty,0,0
355,235.0,1.0,0.0,Faculty,0,0
356,235.0,1.0,0.0,Faculty,0,0
357,235.0,1.0,0.0,Faculty,0,0
358,235.0,1.0,0.0,Faculty,0,0
359,179.0,1.0,0.0,Faculty,0,0
360,179.0,1.0,0.0,Faculty,0,0
361,179.0,1.0,0.0,Faculty,0,0
362,234.0,1.0,0.0,Faculty,0,0
363,267.0,1.0,0.0,0,0,0
364,267.0,1.0,0.0,0,0,0
365,267.0,1.0,0.0,0,0,0
366,290.0,1.0,0.0,Faculty,0,0
367,290.0,1.0,0.0,Faculty,0,0
368,290.0,1.0,0.0,Faculty,0,0
369,98.0,1.0,0.0,Faculty,0,0
370,98.0,1.0,0.0,Faculty,0,0
371,101.0,1.0,0.0,Faculty,0,0
372,101.0,1.0,0.0,Faculty,0,0
373,180.0,1.0,0.0,Faculty,0,0
374,180.0,1.0,0.0,Faculty,0,0
375,180.0,1.0,0.0,Faculty,0,0
376,103.0,1.0,0.0,Faculty_aff,0,0
377,104.0,1.0,0.0,Faculty,0,0
378,104.0,1.0,0.0,Faculty,0,0
379,124.0,1.0,0.0,Faculty,0,0
380,124.0,1.0,0.0,Faculty,0,0
381,124.0,1.0,0.0,Faculty,0,0
382,204.0,0.0,1.0,0,Post_Generals,Year_6
383,255.0,0.0,1.0,0,Post_Generals,Year_5
384,107.0,1.0,0.0,Faculty,0,0
385,107.0,1.0,0.0,Faculty,0,0
386,107.0,1.0,0.0,Faculty,0,0
387,107.0,1.0,0.0,Faculty,0,0
388,213.0,1.0,0.0,Faculty,0,0
389,213.0,1.0,0.0,Faculty,0,0
390,213.0,1.0,0.0,Faculty,0,0
391,213.0,1.0,0.0,Faculty,0,0
392,326.0,1.0,0.0,0,0,0
393,373.0,1.0,0.0,Faculty,0,0
394,373.0,1.0,0.0,Faculty,0,0
395,375.0,1.0,0.0,Faculty_eme,0,0
396,375.0,1.0,0.0,Faculty_eme,0,0
397,375.0,1.0,0.0,Faculty_eme,0,0
398,378.0,1.0,0.0,Faculty,0,0
399,378.0,1.0,0.0,Faculty,0,0
400,168.0,1.0,0.0,Faculty,0,0
401,171.0,1.0,0.0,Faculty,0,0
402,171.0,1.0,0.0,Faculty,0,0
403,171.0,1.0,0.0,Faculty,0,0
404,293.0,1.0,0.0,Faculty_aff,0,0
405,415.0,1.0,0.0,Faculty,0,0
406,415.0,1.0,0.0,Faculty,0,0
407,415.0,1.0,0.0,Faculty,0,0
408,278.0,0.0,1.0,0,Pre_Quals,Year_2
409,279.0,1.0,0.0,Faculty,0,0
410,279.0,1.0,0.0,Faculty,0,0
411,279.0,1.0,0.0,Faculty,0,0
412,292.0,1.0,0.0,Faculty_aff,0,0
413,297.0,1.0,0.0,Faculty_eme,0,0
414,319.0,1.0,0.0,Faculty,0,0
415,319.0,1.0,0.0,Faculty,0,0
416,319.0,1.0,0.0,Faculty,0,0
417,351.0,1.0,0.0,Faculty,0,0
418,351.0,1.0,0.0,Faculty,0,0
419,351.0,1.0,0.0,Faculty,0,0
420,351.0,1.0,0.0,Faculty,0,0
421,351.0,1.0,0.0,Faculty,0,0
422,351.0,1.0,0.0,Faculty,0,0
423,351.0,1.0,0.0,Faculty,0,0
424,351.0,1.0,0.0,Faculty,0,0
